127.0.0.1 - - [23/Dec/2022:17:37:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:37:59 +0900] "GET /Farmstory2/index.jsp HTTP/1.1" 403 701
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:01 +0900] "GET /Farmstory2/index.%EC%95%A0 HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/index.do HTTP/1.1" 200 12278
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/css/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/head_txt_img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_slide_img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/head_menu_badge.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_slide_img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_slide_img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_banner_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_banner_txt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_slide_img_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_banner_img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_banner_sub1_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_latest2_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_latest1_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:38:04 +0900] "GET /Farmstory2/img/main_banner_sub2_tit.png HTTP/1.1" 304 -
